# Gene set generated on 2023-04-10T12:15:08 using cellxgene version 1.1.1
# Input data file was write/reisolated_data_no_rat_final.h5ad, which was last modified on 2023-04-03T11:57:50
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop2 high (4/10/2023, 12:11:01 PM)",,MALAT1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,NOVA1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,WSB1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,EGFR,
"Pop2 high (4/10/2023, 12:11:01 PM)",,HNRNPC,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PTK2,
"Pop2 high (4/10/2023, 12:11:01 PM)",,MSI2,
"Pop2 high (4/10/2023, 12:11:01 PM)",,NEAT1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,FTX,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PTN,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ZEB1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,TRIO,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ASH1L,
"Pop2 high (4/10/2023, 12:11:01 PM)",,SEC61G,
"Pop2 high (4/10/2023, 12:11:01 PM)",,TTC3,
"Pop2 high (4/10/2023, 12:11:01 PM)",,FNDC3B,
"Pop2 high (4/10/2023, 12:11:01 PM)",,CALD1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,TCF12,
"Pop2 high (4/10/2023, 12:11:01 PM)",,RBM39,
"Pop2 high (4/10/2023, 12:11:01 PM)",,APP,
"Pop2 high (4/10/2023, 12:11:01 PM)",,CDKAL1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,KANSL1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,JMJD1C,
"Pop2 high (4/10/2023, 12:11:01 PM)",,KMT2C,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ZFAND3,
"Pop2 high (4/10/2023, 12:11:01 PM)",,KMT2E,
"Pop2 high (4/10/2023, 12:11:01 PM)",,SETD5,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ASPH,
"Pop2 high (4/10/2023, 12:11:01 PM)",,MAP4,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PRKDC,
"Pop2 high (4/10/2023, 12:11:01 PM)",,VIM,
"Pop2 high (4/10/2023, 12:11:01 PM)",,NF1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,SBF2,
"Pop2 high (4/10/2023, 12:11:01 PM)",,BIRC6,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PSD3,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ATXN1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,RTN4,
"Pop2 high (4/10/2023, 12:11:01 PM)",,FUS,
"Pop2 high (4/10/2023, 12:11:01 PM)",,SSBP2,
"Pop2 high (4/10/2023, 12:11:01 PM)",,LPP,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ZBTB20,
"Pop2 high (4/10/2023, 12:11:01 PM)",,TAF15,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PARD3,
"Pop2 high (4/10/2023, 12:11:01 PM)",,HNRNPA2B1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,PCM1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,FMNL2,
"Pop2 high (4/10/2023, 12:11:01 PM)",,LUC7L3,
"Pop2 high (4/10/2023, 12:11:01 PM)",,SMARCC1,
"Pop2 high (4/10/2023, 12:11:01 PM)",,TCF4,
"Pop2 high (4/10/2023, 12:11:01 PM)",,ZNF638,
"Pop1 high (4/10/2023, 12:09:26 PM)",,RBFOX1,
"Pop1 high (4/10/2023, 12:09:26 PM)",,DPYD,
"Pop1 high (4/10/2023, 12:09:26 PM)",,PHLDA2,
"Pop1 high (4/10/2023, 12:09:26 PM)",,TMEM160,
"Pop1 high (4/10/2023, 12:09:26 PM)",,IRF2BPL,
"Pop1 high (4/10/2023, 12:09:26 PM)",,NDUFB5,
"Pop1 high (4/10/2023, 12:09:26 PM)",,MAD2L1,
"Pop1 high (4/10/2023, 12:09:26 PM)",,RARB,
"Pop1 high (4/10/2023, 12:09:26 PM)",,TMEM266,
"Pop1 high (4/10/2023, 12:09:26 PM)",,ISOC2,
"Pop1 high (4/10/2023, 12:09:26 PM)",,SLC39A4,
