# Gene set generated on 2023-04-10T12:18:08 using cellxgene version 1.1.1
# Input data file was write/reisolated_data_final.h5ad, which was last modified on 2023-04-03T15:12:05
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (4/10/2023, 12:18:06 PM)",,VGF,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CRYAB,
"Pop1 high (4/10/2023, 12:18:06 PM)",,RAPGEF5,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SRPRA,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SLC44A2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SLC39A7,
"Pop1 high (4/10/2023, 12:18:06 PM)",,GGH,
"Pop1 high (4/10/2023, 12:18:06 PM)",,KDELR3,
"Pop1 high (4/10/2023, 12:18:06 PM)",,C4orf48,
"Pop1 high (4/10/2023, 12:18:06 PM)",,HSBP1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CTSD,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CERS2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,HEY1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,MRPL33,
"Pop1 high (4/10/2023, 12:18:06 PM)",,POLR2G,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SYS1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CRELD2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CEBPB,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TRMT10A,
"Pop1 high (4/10/2023, 12:18:06 PM)",,NEU1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,MRPL17,
"Pop1 high (4/10/2023, 12:18:06 PM)",,ACAA2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,LCMT1-AS1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,GHITM,
"Pop1 high (4/10/2023, 12:18:06 PM)",,HLA-E,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SDHA,
"Pop1 high (4/10/2023, 12:18:06 PM)",,EBNA1BP2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CALM3,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TM4SF1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CHCHD1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,NDUFA9,
"Pop1 high (4/10/2023, 12:18:06 PM)",,ARPC1A,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SBDS,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TMED1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TSGA10,
"Pop1 high (4/10/2023, 12:18:06 PM)",,FH,
"Pop1 high (4/10/2023, 12:18:06 PM)",,NTSR1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,NDUFA3,
"Pop1 high (4/10/2023, 12:18:06 PM)",,PLXNA4,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TMEM50A,
"Pop1 high (4/10/2023, 12:18:06 PM)",,ISCA2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SCARF2,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TRAPPC1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,PERP,
"Pop1 high (4/10/2023, 12:18:06 PM)",,SPP1,
"Pop1 high (4/10/2023, 12:18:06 PM)",,CDIPT,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TBC1D7,
"Pop1 high (4/10/2023, 12:18:06 PM)",,TMEM256,
"Pop1 high (4/10/2023, 12:18:06 PM)",,MEAF6,
"Pop1 high (4/10/2023, 12:18:06 PM)",,DR1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MALAT1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MT-CO3,
"Pop2 high (4/10/2023, 12:18:06 PM)",,PTN,
"Pop2 high (4/10/2023, 12:18:06 PM)",,NOVA1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MT-CO2,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPS21,
"Pop2 high (4/10/2023, 12:18:06 PM)",,XIST,
"Pop2 high (4/10/2023, 12:18:06 PM)",,GAPDH,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPL41,
"Pop2 high (4/10/2023, 12:18:06 PM)",,FTX,
"Pop2 high (4/10/2023, 12:18:06 PM)",,IGFBP2,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPLP1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,SEC61G,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MT-CO1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,VIM,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MT-CYB,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MT-ND4,
"Pop2 high (4/10/2023, 12:18:06 PM)",,GREB1L,
"Pop2 high (4/10/2023, 12:18:06 PM)",,EGFR,
"Pop2 high (4/10/2023, 12:18:06 PM)",,GPM6A,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPS18,
"Pop2 high (4/10/2023, 12:18:06 PM)",,LRP1B,
"Pop2 high (4/10/2023, 12:18:06 PM)",,NEAT1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,WSB1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,TENM3,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MSI2,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPS2,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPL10,
"Pop2 high (4/10/2023, 12:18:06 PM)",,GPC6,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPL29,
"Pop2 high (4/10/2023, 12:18:06 PM)",,NHSL1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,NRG1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,TCF12,
"Pop2 high (4/10/2023, 12:18:06 PM)",,LSAMP,
"Pop2 high (4/10/2023, 12:18:06 PM)",,CCDC102B,
"Pop2 high (4/10/2023, 12:18:06 PM)",,TRIO,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPL37A,
"Pop2 high (4/10/2023, 12:18:06 PM)",,PTK2,
"Pop2 high (4/10/2023, 12:18:06 PM)",,SMYD3,
"Pop2 high (4/10/2023, 12:18:06 PM)",,QKI,
"Pop2 high (4/10/2023, 12:18:06 PM)",,MIR99AHG,
"Pop2 high (4/10/2023, 12:18:06 PM)",,TTC3,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPS4X,
"Pop2 high (4/10/2023, 12:18:06 PM)",,CALD1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,IGF2BP3,
"Pop2 high (4/10/2023, 12:18:06 PM)",,KCNQ5,
"Pop2 high (4/10/2023, 12:18:06 PM)",,ATXN1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,GPHN,
"Pop2 high (4/10/2023, 12:18:06 PM)",,SLC35F1,
"Pop2 high (4/10/2023, 12:18:06 PM)",,RPS19,
"Pop1 high (4/10/2023, 12:17:31 PM)",,C4orf48,
"Pop1 high (4/10/2023, 12:17:31 PM)",,COX14,
"Pop1 high (4/10/2023, 12:17:31 PM)",,SPNS3,
"Pop1 high (4/10/2023, 12:17:31 PM)",,RGS2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ZDHHC12,
"Pop1 high (4/10/2023, 12:17:31 PM)",,RBFOX1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,HSPA1B,
"Pop1 high (4/10/2023, 12:17:31 PM)",,CSMD2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ARPC1A,
"Pop1 high (4/10/2023, 12:17:31 PM)",,DPYD,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ANG,
"Pop1 high (4/10/2023, 12:17:31 PM)",,GM2A,
"Pop1 high (4/10/2023, 12:17:31 PM)",,NPTX1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,APOE,
"Pop1 high (4/10/2023, 12:17:31 PM)",,PLOD2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,CDC20,
"Pop1 high (4/10/2023, 12:17:31 PM)",,VAT1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,PET117,
"Pop1 high (4/10/2023, 12:17:31 PM)",,EGFL7,
"Pop1 high (4/10/2023, 12:17:31 PM)",,CETN2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,MAF1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,TIMM10,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ALDOC,
"Pop1 high (4/10/2023, 12:17:31 PM)",,GADD45B,
"Pop1 high (4/10/2023, 12:17:31 PM)",,TRAPPC2L,
"Pop1 high (4/10/2023, 12:17:31 PM)",,NAGA,
"Pop1 high (4/10/2023, 12:17:31 PM)",,DNAJC12,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ECH1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,C6orf226,
"Pop1 high (4/10/2023, 12:17:31 PM)",,NUDT15,
"Pop1 high (4/10/2023, 12:17:31 PM)",,C19orf81,
"Pop1 high (4/10/2023, 12:17:31 PM)",,IER5L,
"Pop1 high (4/10/2023, 12:17:31 PM)",,UBL4A,
"Pop1 high (4/10/2023, 12:17:31 PM)",,DHRS4L2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,HNRNPUL2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,GPS1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,DPP6,
"Pop1 high (4/10/2023, 12:17:31 PM)",,PDCL3,
"Pop1 high (4/10/2023, 12:17:31 PM)",,TMEM121,
"Pop1 high (4/10/2023, 12:17:31 PM)",,FUNDC1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ARL4D,
"Pop1 high (4/10/2023, 12:17:31 PM)",,KCNT2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,MYO1D,
"Pop1 high (4/10/2023, 12:17:31 PM)",,RAC3,
"Pop1 high (4/10/2023, 12:17:31 PM)",,ELDR,
"Pop1 high (4/10/2023, 12:17:31 PM)",,EEF1A2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,PIK3AP1,
"Pop1 high (4/10/2023, 12:17:31 PM)",,RCOR2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,SNAPC2,
"Pop1 high (4/10/2023, 12:17:31 PM)",,CLDND2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,MALAT1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,XIST,
"Pop2 high (4/10/2023, 12:17:31 PM)",,NOVA1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,FTX,
"Pop2 high (4/10/2023, 12:17:31 PM)",,PTN,
"Pop2 high (4/10/2023, 12:17:31 PM)",,WSB1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,MSI2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,TCF12,
"Pop2 high (4/10/2023, 12:17:31 PM)",,GREB1L,
"Pop2 high (4/10/2023, 12:17:31 PM)",,NEAT1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,GPC6,
"Pop2 high (4/10/2023, 12:17:31 PM)",,PTK2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,TTC3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,GPM6A,
"Pop2 high (4/10/2023, 12:17:31 PM)",,GPHN,
"Pop2 high (4/10/2023, 12:17:31 PM)",,NHSL1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SMYD3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,CCDC102B,
"Pop2 high (4/10/2023, 12:17:31 PM)",,CALD1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,TRIO,
"Pop2 high (4/10/2023, 12:17:31 PM)",,LSAMP,
"Pop2 high (4/10/2023, 12:17:31 PM)",,QKI,
"Pop2 high (4/10/2023, 12:17:31 PM)",,TENM3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,EGFR,
"Pop2 high (4/10/2023, 12:17:31 PM)",,KCNQ5,
"Pop2 high (4/10/2023, 12:17:31 PM)",,JPX,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SLC35F1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,MIR99AHG,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SDK1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SEC61G,
"Pop2 high (4/10/2023, 12:17:31 PM)",,IGF2BP3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,HNRNPC,
"Pop2 high (4/10/2023, 12:17:31 PM)",,LRP1B,
"Pop2 high (4/10/2023, 12:17:31 PM)",,PSD3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SBF2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,FNDC3B,
"Pop2 high (4/10/2023, 12:17:31 PM)",,KMT2C,
"Pop2 high (4/10/2023, 12:17:31 PM)",,ANK2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,ATXN1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,TTC28,
"Pop2 high (4/10/2023, 12:17:31 PM)",,RFX3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,ANKRD17,
"Pop2 high (4/10/2023, 12:17:31 PM)",,PVT1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,RBFOX2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,PARD3,
"Pop2 high (4/10/2023, 12:17:31 PM)",,RBM39,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SSBP2,
"Pop2 high (4/10/2023, 12:17:31 PM)",,NRG1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,AGAP1,
"Pop2 high (4/10/2023, 12:17:31 PM)",,SMARCC1,
