	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24
A	A02	A02	A02	A03	A03	A03	A04	A04	A04	A05	A05	A05	A06	A06	A06	A07	A07	A07	A08	A08	A08	A09	A09	A09
B	A10	A10	A10	A11	A11	A11	A02-2	A02-2	A02-2	A03-2	A03-2	A03-2	A04-2	A04-2	A04-2	A05-2	A05-2	A05-2	A06-2	A06-2	A06-2	A07-2	A07-2	A07-2
C	B02	B02	B02	B03	B03	B03	B04	B04	B04	B05	B05	B05	B06	B06	B06	B07	B07	B07	B08	B08	B08	B09	B09	B09
D	B10	B10	B10	B11	B11	B11	B02-2	B02-2	B02-2	B03-2	B03-2	B03-2	B04-2	B04-2	B04-2	B05-2	B05-2	B05-2	B06-2	B06-2	B06-2	B07-2	B07-2	B07-2
E	C02	C02	C02	C03	C03	C03	C04	C04	C04	C05	C05	C05	C06	C06	C06	C07	C07	C07	C08	C08	C08	C09	C09	C09
F	C10	C10	C10	C11	C11	C11	C02-2	C02-2	C02-2	C03-2	C03-2	C03-2	C04-2	C04-2	C04-2	C05-2	C05-2	C05-2	C06-2	C06-2	C06-2	C07-2	C07-2	C07-2
G	D02	D02	D02	D03	D03	D03	D04	D04	D04	D05	D05	D05	D06	D06	D06	D07	D07	D07	D08	D08	D08	D09	D09	D09
H	D10	D10	D10	D11	D11	D11	D02-2	D02-2	D02-2	D03-2	D03-2	D03-2	D04-2	D04-2	D04-2	D05-2	D05-2	D05-2	D06-2	D06-2	D06-2	D07-2	D07-2	D07-2
I	E02	E02	E02	E03	E03	E03	E04	E04	E04	E05	E05	E05	E06	E06	E06	E07	E07	E07	E08	E08	E08	E09	E09	E09
J	E10	E10	E10	E11	E11	E11	E02-2	E02-2	E02-2	E03-2	E03-2	E03-2	E04-2	E04-2	E04-2	E05-2	E05-2	E05-2	E06-2	E06-2	E06-2	E07-2	E07-2	E07-2
K	F02	F02	F02	F03	F03	F03	F04	F04	F04	F05	F05	F05	F06	F06	F06	F07	F07	F07	F08	F08	F08	F09	F09	F09
L	F10	F10	F10	F11	F11	F11	F02-2	F02-2	F02-2	F03-2	F03-2	F03-2	F04-2	F04-2	F04-2	F05-2	F05-2	F05-2	F06-2	F06-2	F06-2	F07-2	F07-2	F07-2
M	G02	G02	G02	G03	G03	G03	G04	G04	G04	G05	G05	G05	G06	G06	G06	G07	G07	G07	G08	G08	G08	G09	G09	G09
N	G10	G10	G10	G11	G11	G11	G02-2	G02-2	G02-2	G03-2	G03-2	G03-2	G04-2	G04-2	G04-2	G05-2	G05-2	G05-2	G06-2	G06-2	G06-2	G07-2	G07-2	G07-2
O	H02	H02	H02	H03	H03	H03	H04	H04	H04	H05	H05	H05	H06	H06	H06	H07	H07	H07	H08	H08	H08	H09	H09	H09
P	H10	H10	H10	H11	H11	H11	H02-2	H02-2	H02-2	H03-2	H03-2	H03-2	H04-2	H04-2	H04-2	H05-2	H05-2	H05-2	H06-2	H06-2	H06-2	H07-2	H07-2	H07-2
