,raw_time,hours,raw_o2,noise,smoothed,Raw Name,Position,Name
1,8,0.0,13.8,3.9,14.207038361184285,A02,"[0, 0]",A02
2,3970,1.1,15.5,4.1,14.64936845476291,A02,"[0, 0]",A02
3,7931,2.2,14.8,4.0,15.091683475471294,A02,"[0, 0]",A02
4,11893,3.3,15.6,3.7,15.315258868627879,A02,"[0, 0]",A02
5,15857,4.4,15.1,3.8,15.90582030500183,A02,"[0, 0]",A02
6,19820,5.51,16.2,3.7,16.986273537816604,A02,"[0, 0]",A02
7,23782,6.61,18.9,3.6,18.27675317234212,A02,"[0, 0]",A02
8,27744,7.71,20.1,3.6,19.590303194973753,A02,"[0, 0]",A02
9,31708,8.81,20.3,3.5,20.42236732920767,A02,"[0, 0]",A02
10,35670,9.91,21.4,3.6,20.643941300954896,A02,"[0, 0]",A02
11,39633,11.01,20.8,3.5,20.590475885170946,A02,"[0, 0]",A02
12,43596,12.11,19.6,3.7,20.44485794317171,A02,"[0, 0]",A02
13,47560,13.21,20.6,3.9,20.333456707692346,A02,"[0, 0]",A02
14,51523,14.31,20.2,3.5,20.53614891862594,A02,"[0, 0]",A02
15,55483,15.41,21.0,3.2,20.622879001627393,A02,"[0, 0]",A02
16,59445,16.51,21.0,3.3,20.47364242450055,A02,"[0, 0]",A02
17,63406,17.61,19.5,3.5,20.376328359310293,A02,"[0, 0]",A02
18,67369,18.71,20.1,3.4,20.344077994857493,A02,"[0, 0]",A02
19,71329,19.81,21.0,3.4,20.41453035372434,A02,"[0, 0]",A02
20,75288,20.91,20.7,3.2,20.375086609197382,A02,"[0, 0]",A02
21,79252,22.01,19.7,3.1,20.131873854735627,A02,"[0, 0]",A02
22,83214,23.12,19.9,3.0,19.80520698226807,A02,"[0, 0]",A02
23,87177,24.22,19.6,3.0,19.588304974792,A02,"[0, 0]",A02
24,91139,25.32,19.4,3.1,19.533091810121476,A02,"[0, 0]",A02
25,95099,26.42,19.1,3.1,19.673529612199577,A02,"[0, 0]",A02
26,99062,27.52,20.6,3.2,19.812479158233682,A02,"[0, 0]",A02
27,103023,28.62,19.9,3.4,20.10915558090987,A02,"[0, 0]",A02
28,106985,29.72,18.7,3.5,20.53138909210326,A02,"[0, 0]",A02
29,110948,30.82,21.2,3.5,20.991236429716167,A02,"[0, 0]",A02
30,114911,31.92,21.8,3.6,21.58595562754601,A02,"[0, 0]",A02
31,118871,33.02,22.2,3.4,21.935088831812642,A02,"[0, 0]",A02
32,122832,34.12,21.6,3.5,22.25311618191247,A02,"[0, 0]",A02
33,126795,35.22,23.0,3.7,22.394834757511905,A02,"[0, 0]",A02
34,130758,36.32,22.7,3.6,22.435467183760274,A02,"[0, 0]",A02
35,134722,37.42,22.1,4.1,22.322352923260567,A02,"[0, 0]",A02
36,138685,38.52,21.9,4.2,22.242290137676896,A02,"[0, 0]",A02
37,142647,39.62,22.4,4.5,22.39000445159651,A02,"[0, 0]",A02
38,146610,40.72,22.7,4.6,22.771904577008875,A02,"[0, 0]",A02
39,150574,41.83,23.1,4.7,23.14106947303336,A02,"[0, 0]",A02
40,154536,42.93,24.0,4.6,23.419242376985355,A02,"[0, 0]",A02
41,158499,44.03,22.6,4.6,23.75693223495938,A02,"[0, 0]",A02
42,162462,45.13,24.6,4.6,23.947550812571798,A02,"[0, 0]",A02
43,166426,46.23,24.0,4.4,24.508253002869672,A02,"[0, 0]",A02
