,raw_time,hours,raw_o2,noise,smoothed,Raw Name,Position,Name
1,9,0.0,87.2,1.1,90.61469091646661,A02,"[0, 0]",A02
2,4288,1.19,93.4,1.2,91.74331319748825,A02,"[0, 0]",A02
3,8569,2.38,94.8,1.2,92.73292482195897,A02,"[0, 0]",A02
4,12851,3.57,94.9,1.2,93.66106855551614,A02,"[0, 0]",A02
5,17133,4.76,93.5,1.3,93.90758764151549,A02,"[0, 0]",A02
6,21414,5.95,91.4,1.3,93.84462969379061,A02,"[0, 0]",A02
7,25694,7.14,96.0,1.3,93.91608099899857,A02,"[0, 0]",A02
8,29974,8.33,93.2,1.2,94.27840433630713,A02,"[0, 0]",A02
9,34257,9.52,94.7,1.2,94.24940188566892,A02,"[0, 0]",A02
10,38537,10.7,96.8,1.3,93.60876454179116,A02,"[0, 0]",A02
11,42817,11.89,92.5,1.4,93.0186905902153,A02,"[0, 0]",A02
12,47097,13.08,89.2,1.4,92.40146320978721,A02,"[0, 0]",A02
13,51377,14.27,92.8,1.5,91.98373229280023,A02,"[0, 0]",A02
14,55656,15.46,90.6,1.5,92.20527562087993,A02,"[0, 0]",A02
15,59937,16.65,93.9,1.6,92.84404479313307,A02,"[0, 0]",A02
16,64218,17.84,93.1,1.6,93.38567821750603,A02,"[0, 0]",A02
17,68499,19.03,94.7,1.6,93.82375557819431,A02,"[0, 0]",A02
18,72778,20.22,94.0,1.6,94.23789309787834,A02,"[0, 0]",A02
19,77059,21.41,93.8,1.6,94.63231277052763,A02,"[0, 0]",A02
20,81343,22.6,95.0,1.6,94.6959559077716,A02,"[0, 0]",A02
21,85624,23.78,97.3,1.5,94.7942044146282,A02,"[0, 0]",A02
22,89906,24.97,92.8,1.6,95.21430186983821,A02,"[0, 0]",A02
23,94183,26.16,94.3,1.6,95.50843779015321,A02,"[0, 0]",A02
24,98463,27.35,97.1,1.6,95.57490924909617,A02,"[0, 0]",A02
25,102742,28.54,97.7,1.5,95.98784391560238,A02,"[0, 0]",A02
26,107022,29.73,93.7,1.5,96.36141674691731,A02,"[0, 0]",A02
27,111302,30.92,96.8,1.5,96.11116154063376,A02,"[0, 0]",A02
28,115586,32.11,97.8,1.5,95.73804913860002,A02,"[0, 0]",A02
29,119867,33.3,94.7,1.4,95.71708972462825,A02,"[0, 0]",A02
30,124146,34.48,93.4,1.4,95.59532312723162,A02,"[0, 0]",A02
31,128428,35.67,97.3,1.3,95.60924080662282,A02,"[0, 0]",A02
32,132707,36.86,94.6,1.3,96.01803763359129,A02,"[0, 0]",A02
33,136988,38.05,97.4,1.3,96.36277008433098,A02,"[0, 0]",A02
34,141270,39.24,97.2,1.3,96.45065302431425,A02,"[0, 0]",A02
35,145548,40.43,96.3,1.3,96.79430876608093,A02,"[0, 0]",A02
36,149832,41.62,95.2,1.3,97.19831111620259,A02,"[0, 0]",A02
37,154113,42.81,98.1,1.3,97.41444540009388,A02,"[0, 0]",A02
38,158397,44.0,101.0,1.3,97.65480739523609,A02,"[0, 0]",A02
39,162681,45.19,92.0,1.4,97.69509639311978,A02,"[0, 0]",A02
40,166963,46.38,100.2,1.1,97.36306511285672,A02,"[0, 0]",A02
41,171244,47.57,94.9,1.1,96.64411072178314,A02,"[0, 0]",A02
42,175526,48.76,97.6,1.1,95.89967408828424,A02,"[0, 0]",A02
43,179806,49.95,94.5,1.1,95.32151538656585,A02,"[0, 0]",A02
44,184088,51.14,93.3,1.1,95.4770353232056,A02,"[0, 0]",A02
45,188369,52.32,94.4,1.1,96.06733786173915,A02,"[0, 0]",A02
46,192651,53.51,98.4,1.1,96.89956764976145,A02,"[0, 0]",A02
47,196934,54.7,99.6,1.1,97.78109452141791,A02,"[0, 0]",A02
48,201217,55.89,98.1,1.0,98.09736901558045,A02,"[0, 0]",A02
49,205497,57.08,99.0,1.0,97.98355367900884,A02,"[0, 0]",A02
50,209781,58.27,95.4,1.0,97.949730095497,A02,"[0, 0]",A02
51,214061,59.46,97.4,1.0,98.06879730673657,A02,"[0, 0]",A02
52,218344,60.65,99.8,1.0,98.41341103454798,A02,"[0, 0]",A02
53,222626,61.84,98.7,1.1,99.05930771594947,A02,"[0, 0]",A02
54,226910,63.03,99.5,1.0,99.4397096771894,A02,"[0, 0]",A02
55,231192,64.22,74.1,1.0,99.57459858598718,A02,"[0, 0]",A02
56,235478,65.41,100.4,1.1,99.9448249500053,A02,"[0, 0]",A02
57,239761,66.6,91.2,1.1,99.64604200030719,A02,"[0, 0]",A02
58,244044,67.79,101.8,1.2,98.46033107001907,A02,"[0, 0]",A02
59,248325,68.98,106.8,1.3,97.83096091765077,A02,"[0, 0]",A02
60,252606,70.17,93.0,1.3,97.38566692975817,A02,"[0, 0]",A02
61,256888,71.36,96.7,1.3,96.90224294717069,A02,"[0, 0]",A02
62,261170,72.55,98.9,1.3,97.47358692076267,A02,"[0, 0]",A02
63,265451,73.74,98.9,1.3,98.62554312040803,A02,"[0, 0]",A02
64,269732,74.93,97.9,1.3,99.57467497910882,A02,"[0, 0]",A02
65,274015,76.12,101.1,1.3,99.65151277756226,A02,"[0, 0]",A02
66,278297,77.3,102.3,1.3,98.83278806169278,A02,"[0, 0]",A02
67,282579,78.49,89.9,1.3,97.95116791326701,A02,"[0, 0]",A02
68,286861,79.68,96.5,1.3,96.94498310082578,A02,"[0, 0]",A02
69,291144,80.87,93.6,1.2,96.08724727810525,A02,"[0, 0]",A02
70,295425,82.06,95.2,1.2,96.5953807558383,A02,"[0, 0]",A02
71,299705,83.25,99.3,1.2,97.30831733777758,A02,"[0, 0]",A02
72,303984,84.44,100.0,1.2,97.70411742122721,A02,"[0, 0]",A02
73,308268,85.63,97.3,1.2,97.71238489467085,A02,"[0, 0]",A02
74,312550,86.82,90.4,1.3,97.75653381103399,A02,"[0, 0]",A02
75,316833,88.01,96.5,1.2,97.79544839547678,A02,"[0, 0]",A02
76,321116,89.2,105.2,1.3,98.0391755817005,A02,"[0, 0]",A02
77,325397,90.39,98.8,1.3,98.96190643507894,A02,"[0, 0]",A02
78,329676,91.58,98.6,1.4,99.92180747343207,A02,"[0, 0]",A02
79,333958,92.77,101.6,1.4,100.82520916348865,A02,"[0, 0]",A02
80,338238,93.96,,-10.9,101.77193922040416,A02,"[0, 0]",A02
1,19,0.01,9.1,5.4,8.690248344174003,A02,"[0, 1]",A02
2,4299,1.19,8.0,5.3,8.37889350381232,A02,"[0, 1]",A02
3,8580,2.38,7.8,6.0,8.071358790511336,A02,"[0, 1]",A02
4,12861,3.57,7.8,5.8,7.758375817300777,A02,"[0, 1]",A02
5,17143,4.76,7.9,6.1,7.530923631032254,A02,"[0, 1]",A02
6,21424,5.95,7.0,6.7,7.376714015826433,A02,"[0, 1]",A02
7,25704,7.14,7.1,7.2,7.2926000742744845,A02,"[0, 1]",A02
8,29985,8.33,7.0,7.3,7.305241830242736,A02,"[0, 1]",A02
9,34267,9.52,7.5,7.2,7.4725574814161515,A02,"[0, 1]",A02
10,38548,10.71,7.8,7.2,7.767246754512415,A02,"[0, 1]",A02
11,42828,11.9,7.0,7.1,9.292888037278637,A02,"[0, 1]",A02
12,47107,13.09,15.8,7.0,10.351306456954335,A02,"[0, 1]",A02
13,51387,14.27,15.1,6.9,11.387751561146667,A02,"[0, 1]",A02
14,55666,15.46,13.1,7.0,13.148902522034849,A02,"[0, 1]",A02
15,59947,16.65,12.7,7.1,12.473077982557617,A02,"[0, 1]",A02
16,64228,17.84,11.6,7.2,11.773445070545007,A02,"[0, 1]",A02
17,68509,19.03,11.0,7.2,11.095182340034231,A02,"[0, 1]",A02
18,72788,20.22,10.4,7.2,10.433091703611693,A02,"[0, 1]",A02
19,77070,21.41,10.0,7.4,9.910169112209479,A02,"[0, 1]",A02
20,81354,22.6,8.7,7.5,9.451224317116932,A02,"[0, 1]",A02
21,85635,23.79,9.4,7.6,8.974276236474145,A02,"[0, 1]",A02
