,Unnamed: 0,raw_time,hours,raw_o2,noise,smoothed,Raw Name,Position,Name,batch
0,1,8.0,0.0,10.5,5.304,10.5,alcetinib 70uM,"[0, 0]",alcetinib,1
1,2,3845.0,1.07,14.1,5.237,14.1,alcetinib 70uM,"[0, 0]",alcetinib,1
2,3,7965.0,2.21,9.4,5.326,9.4,alcetinib 70uM,"[0, 0]",alcetinib,1
3,4,11802.0,3.28,10.3,5.308,10.3,alcetinib 70uM,"[0, 0]",alcetinib,1
4,5,15636.0,4.34,29.3,4.973,29.3,alcetinib 70uM,"[0, 0]",alcetinib,1
5,6,19472.0,5.41,29.9,4.963,30.80000000000017,alcetinib 70uM,"[0, 0]",alcetinib,1
6,7,23309.0,6.47,28.2,4.99,28.02253206105298,alcetinib 70uM,"[0, 0]",alcetinib,1
7,8,27144.0,7.54,25.6,5.033,26.26160724476764,alcetinib 70uM,"[0, 0]",alcetinib,1
8,9,30979.0,8.61,24.6,5.051,25.022554586166404,alcetinib 70uM,"[0, 0]",alcetinib,1
9,10,34814.0,9.67,24.1,5.058,24.150038424114395,alcetinib 70uM,"[0, 0]",alcetinib,1
10,11,38648.0,10.74,23.7,5.065,23.587978682177805,alcetinib 70uM,"[0, 0]",alcetinib,1
11,12,42485.0,11.8,22.9,5.08,23.073313882263943,alcetinib 70uM,"[0, 0]",alcetinib,1
12,13,46322.0,12.87,22.7,5.082,22.474946570294254,alcetinib 70uM,"[0, 0]",alcetinib,1
13,14,50157.0,13.93,21.9,5.096,21.833136576141257,alcetinib 70uM,"[0, 0]",alcetinib,1
14,15,53992.0,15.0,21.0,5.111,21.063512920468845,alcetinib 70uM,"[0, 0]",alcetinib,1
15,16,57827.0,16.06,20.5,5.12,20.16221641677863,alcetinib 70uM,"[0, 0]",alcetinib,1
16,17,61662.0,17.13,18.9,5.149,19.345610359963928,alcetinib 70uM,"[0, 0]",alcetinib,1
17,18,65501.0,18.19,18.5,5.156,18.53613009520415,alcetinib 70uM,"[0, 0]",alcetinib,1
18,19,69338.0,19.26,18.1,5.162,17.79410870129361,alcetinib 70uM,"[0, 0]",alcetinib,1
19,20,73174.0,20.33,16.8,5.186,17.161148895529465,alcetinib 70uM,"[0, 0]",alcetinib,1
20,21,77010.0,21.39,16.5,5.192,16.54704812759975,alcetinib 70uM,"[0, 0]",alcetinib,1
21,22,80843.0,22.46,16.1,5.199,16.05514992447589,alcetinib 70uM,"[0, 0]",alcetinib,1
22,23,84679.0,23.52,15.6,5.208,15.626080371956796,alcetinib 70uM,"[0, 0]",alcetinib,1
23,24,88515.0,24.59,15.2,5.215,15.299449497983058,alcetinib 70uM,"[0, 0]",alcetinib,1
24,25,92352.0,25.65,14.7,5.224,15.235471403917597,alcetinib 70uM,"[0, 0]",alcetinib,1
25,26,96186.0,26.72,16.2,5.198,15.218016282065063,alcetinib 70uM,"[0, 0]",alcetinib,1
26,27,100024.0,27.78,15.1,5.217,15.281835409733826,alcetinib 70uM,"[0, 0]",alcetinib,1
27,28,103861.0,28.85,15.3,5.215,13.53260228973412,alcetinib 70uM,"[0, 0]",alcetinib,1
28,29,107699.0,29.92,9.6,5.323,12.242550402501754,alcetinib 70uM,"[0, 0]",alcetinib,1
29,30,111535.0,30.98,10.5,5.304,10.6032193081478,alcetinib 70uM,"[0, 0]",alcetinib,1
30,31,115373.0,32.05,10.6,5.302,10.367675377617,alcetinib 70uM,"[0, 0]",alcetinib,1
31,32,119209.0,33.11,9.8,5.317,10.182093835231823,alcetinib 70uM,"[0, 0]",alcetinib,1
32,33,123046.0,34.18,10.8,5.3,9.86351468554209,alcetinib 70uM,"[0, 0]",alcetinib,1
33,34,126882.0,35.24,9.3,5.327,9.666016643284646,alcetinib 70uM,"[0, 0]",alcetinib,1
34,35,130717.0,36.31,9.3,5.328,9.541991466579134,alcetinib 70uM,"[0, 0]",alcetinib,1
35,36,134555.0,37.38,9.7,5.321,9.603347661589948,alcetinib 70uM,"[0, 0]",alcetinib,1
36,37,138391.0,38.44,9.8,5.319,9.790377496641488,alcetinib 70uM,"[0, 0]",alcetinib,1
37,38,142228.0,39.51,9.9,5.316,9.971328573935804,alcetinib 70uM,"[0, 0]",alcetinib,1
38,39,146066.0,40.57,10.2,5.31,10.2039556310565,alcetinib 70uM,"[0, 0]",alcetinib,1
39,40,149901.0,41.64,10.3,5.309,10.456933091517117,alcetinib 70uM,"[0, 0]",alcetinib,1
40,41,153737.0,42.7,11.3,5.29,10.616221843357437,alcetinib 70uM,"[0, 0]",alcetinib,1
41,42,157571.0,43.77,10.3,5.309,10.784606160579768,alcetinib 70uM,"[0, 0]",alcetinib,1
42,43,161409.0,44.84,11.1,5.293,10.803961147080242,alcetinib 70uM,"[0, 0]",alcetinib,1
