Product Name,Target,Pathway
Xylan,Others,Others
Inulin,Endogenous Metabolite,Metabolic Enzyme/Protease
Enocyanin,Phosphatase,Metabolic Enzyme/Protease
Saponins,Bacterial; Fungal,Anti-infection
(+)-Catechin hydrate,COX,Immunology/Inflammation
Taurocholic acid (sodium salt hydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
Melanin,Endogenous Metabolite,Metabolic Enzyme/Protease
Lignin,Others,Others
Chondroitin (sulfate),Endogenous Metabolite; MMP; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
Inosinic acid (disodium)(hydrate)(1:2:X),Endogenous Metabolite,Metabolic Enzyme/Protease
Heparan Sulfate,Endogenous Metabolite; FGFR; Wnt,Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt
Pancreatin,Others,Others
Phytic acid (dodecasodium hydrate),Endogenous Metabolite; Xanthine Oxidase,Metabolic Enzyme/Protease
1-Naphthol,Endogenous Metabolite,Metabolic Enzyme/Protease
β-​Apo-​8'-​carotenal,Cytochrome P450,Metabolic Enzyme/Protease
Cholesteryl behenate,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Glutamic acid,Apoptosis; Endogenous Metabolite; Ferroptosis; iGluR,Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Solasodine,Apoptosis; E1/E2/E3 Enzyme; Fungal; MDM-2/p53,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
Liothyronine (sodium),Endogenous Metabolite; Thyroid Hormone Receptor,Metabolic Enzyme/Protease; Others
Dextran,Bacterial; Others,Anti-infection; Others
L-Tyrosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Chrysophanol,EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK
Protoporphyrin IX,Endogenous Metabolite,Metabolic Enzyme/Protease
Indole-3-acetamide,Endogenous Metabolite,Metabolic Enzyme/Protease
Palmitoylethanolamide,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
Sarsasapogenin,Endogenous Metabolite; NF-κB,Metabolic Enzyme/Protease; NF-κB
Isoimperatorin,Bacterial; Cholinesterase (ChE),Anti-infection; Neuronal Signaling
Uvaol,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Benzylpalmitamide,Autophagy; FAAH,Autophagy; Metabolic Enzyme/Protease; Neuronal Signaling
3-Amino-4-methylpentanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Coenzyme Q9,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
N2-Methylguanosine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Lathosterol,Endogenous Metabolite,Metabolic Enzyme/Protease
Cholesteryl oleate,Endogenous Metabolite,Metabolic Enzyme/Protease
5α-Cholestan-3β-ol,Endogenous Metabolite,Metabolic Enzyme/Protease
Pyrroloquinoline quinone,Endogenous Metabolite,Metabolic Enzyme/Protease
Gitogenin,Glucosidase,Metabolic Enzyme/Protease
H-Gly-Pro-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
Heneicosanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"(2R)-3-(((2-Aminoethoxy)(hydroxy)phosphoryl)oxy)propane-1,2-diyl ditetradecanoate",Endogenous Metabolite,Metabolic Enzyme/Protease
L-Cystathionine,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
