Gene,CV,Description
SOX2,5.421213805675507,Neural stem cell marker
S100B,11.798164248466492,Astrocytic marker
LDHA,12.283525615930555,Metabolic/glycolysis marker
CST3,14.695347845554352,Astrocytic marker
NES,14.747437834739683,Neural progenitor marker
VIM,14.999036490917206,Mesenchymal marker
CDK1,19.842229783535004,Cell cycle marker
CD44,20.73451578617096,Mesenchymal/stem marker
CCNB1,22.849862277507786,Cell cycle marker
RND3,23.496297001838684,Neural development marker
ADM,24.91452842950821,Stress response marker
OMG,25.90920031070709,Oligodendrocyte marker
