dataset,sample,age_group,cell_type,count,percentage,total_cells_in_sample
Organoid,1914_GBO,N/A,Astrocytic,454,5.646063922397712,8041
Organoid,1914_GBO,N/A,Mesenchymal,4538,56.43576669568462,8041
Organoid,1914_GBO,N/A,Neural_Progenitor,2515,31.277204327819923,8041
Organoid,1914_GBO,N/A,Oligodendrocytic,534,6.640965054097749,8041
Organoid,1914_TSM,N/A,Astrocytic,93,7.209302325581396,1290
Organoid,1914_TSM,N/A,Mesenchymal,892,69.14728682170542,1290
Organoid,1914_TSM,N/A,Neural_Progenitor,244,18.91472868217054,1290
Organoid,1914_TSM,N/A,Oligodendrocytic,61,4.728682170542635,1290
Organoid,1919_GBO,N/A,Astrocytic,1102,15.99651618522282,6889
Organoid,1919_GBO,N/A,Mesenchymal,1826,26.506024096385545,6889
Organoid,1919_GBO,N/A,Neural_Progenitor,3256,47.263753810422415,6889
Organoid,1919_GBO,N/A,Oligodendrocytic,705,10.233705907969226,6889
Organoid,1919_TSM,N/A,Astrocytic,988,15.22107533507934,6491
Organoid,1919_TSM,N/A,Mesenchymal,3992,61.50053920813434,6491
Organoid,1919_TSM,N/A,Neural_Progenitor,1156,17.809274379910644,6491
Organoid,1919_TSM,N/A,Oligodendrocytic,355,5.469111076875674,6491
GSE131928,MGH105,adult,Astrocytic,699,11.371400683260127,6147
GSE131928,MGH124,adult,Astrocytic,302,10.843806104129264,2785
GSE131928,MGH143,adult,Astrocytic,330,12.75115919629057,2588
GSE131928,MGH102,adult,Astrocytic,270,12.652296157450795,2134
GSE131928,MGH125,adult,Astrocytic,220,10.934393638170974,2012
GSE131928,MGH115,adult,Astrocytic,156,10.773480662983426,1448
GSE131928,MGH118,adult,Astrocytic,72,13.358070500927644,539
GSE131928,MGH114,adult,Astrocytic,67,14.16490486257928,473
GSE131928,MGH66,adult,Astrocytic,74,16.972477064220186,436
GSE131928,MGH110,adult,Astrocytic,47,13.09192200557103,359
GSE131928,MGH104,adult,Astrocytic,47,13.239436619718308,355
GSE131928,BT771,pediatric,Astrocytic,63,18.58407079646018,339
GSE131928,BT1160,pediatric,Astrocytic,36,10.746268656716417,335
GSE131928,BT749,pediatric,Astrocytic,54,17.034700315457414,317
GSE131928,BT920,pediatric,Astrocytic,28,9.30232558139535,301
GSE131928,MGH121,adult,Astrocytic,29,9.764309764309765,297
GSE131928,MGH122,adult,Astrocytic,38,13.91941391941392,273
GSE131928,MGH113,adult,Astrocytic,24,9.230769230769232,260
GSE131928,MGH85,pediatric,Astrocytic,30,12.244897959183673,245
GSE131928,MGH136,adult,Astrocytic,33,14.285714285714285,231
GSE131928,MGH126,adult,Astrocytic,32,13.973799126637553,229
GSE131928,MGH152,adult,Astrocytic,36,15.72052401746725,229
GSE131928,BT830,pediatric,Astrocytic,21,9.545454545454547,220
GSE131928,BT1187,pediatric,Astrocytic,30,13.698630136986301,219
GSE131928,BT786,pediatric,Astrocytic,28,13.20754716981132,212
GSE131928,MGH100,adult,Astrocytic,23,11.004784688995215,209
GSE131928,MGH106,adult,Astrocytic,36,18.0,200
GSE131928,MGH101,adult,Astrocytic,23,11.5,200
GSE131928,MGH129,adult,Astrocytic,20,10.416666666666668,192
GSE131928,MGH128,adult,Astrocytic,31,16.847826086956523,184
GSE131928,MGH151,adult,Astrocytic,22,13.496932515337424,163
GSE131928,tumour name,adult/pediatric,Astrocytic,0,0.0,1
GSE131928,MGH105,adult,Mesenchymal,1601,26.04522531316089,6147
GSE131928,MGH124,adult,Mesenchymal,813,29.19210053859964,2785
GSE131928,MGH143,adult,Mesenchymal,638,24.652241112828438,2588
GSE131928,MGH102,adult,Mesenchymal,551,25.82005623242737,2134
GSE131928,MGH125,adult,Mesenchymal,485,24.105367793240557,2012
