dataset,sample,cell_type,total_cells,SOX2_positive,SOX2_negative,percent_SOX2_negative
Organoid,1914_GBO,Astrocytic,454,247,207,45.59471365638766
Organoid,1914_GBO,Mesenchymal,4538,1296,3242,71.44116350815337
Organoid,1914_GBO,Neural_Progenitor,2515,2003,512,20.357852882703778
Organoid,1914_GBO,Oligodendrocytic,534,132,402,75.28089887640449
Organoid,1914_TSM,Astrocytic,93,52,41,44.086021505376344
Organoid,1914_TSM,Mesenchymal,892,278,614,68.83408071748879
Organoid,1914_TSM,Neural_Progenitor,244,194,50,20.491803278688526
Organoid,1914_TSM,Oligodendrocytic,61,14,47,77.04918032786885
Organoid,1919_GBO,Astrocytic,1102,629,473,42.92196007259528
Organoid,1919_GBO,Mesenchymal,1826,384,1442,78.97042716319824
Organoid,1919_GBO,Neural_Progenitor,3256,2565,691,21.222358722358724
Organoid,1919_GBO,Oligodendrocytic,705,219,486,68.93617021276596
Organoid,1919_TSM,Astrocytic,988,583,405,40.9919028340081
Organoid,1919_TSM,Mesenchymal,3992,1560,2432,60.92184368737475
Organoid,1919_TSM,Neural_Progenitor,1156,937,219,18.94463667820069
Organoid,1919_TSM,Oligodendrocytic,355,77,278,78.30985915492957
GSE131928,MGH105,Astrocytic,699,433,266,38.054363376251786
GSE131928,MGH124,Astrocytic,302,172,130,43.04635761589404
GSE131928,MGH143,Astrocytic,330,180,150,45.45454545454545
GSE131928,MGH102,Astrocytic,270,140,130,48.148148148148145
GSE131928,MGH125,Astrocytic,220,135,85,38.63636363636363
GSE131928,MGH115,Astrocytic,156,91,65,41.66666666666667
GSE131928,MGH118,Astrocytic,72,43,29,40.27777777777778
GSE131928,MGH114,Astrocytic,67,36,31,46.26865671641791
GSE131928,MGH66,Astrocytic,74,46,28,37.83783783783784
GSE131928,MGH110,Astrocytic,47,28,19,40.42553191489361
GSE131928,MGH104,Astrocytic,47,24,23,48.93617021276596
GSE131928,BT771,Astrocytic,63,32,31,49.2063492063492
GSE131928,BT1160,Astrocytic,36,22,14,38.88888888888889
GSE131928,BT749,Astrocytic,54,30,24,44.44444444444444
GSE131928,BT920,Astrocytic,28,15,13,46.42857142857143
GSE131928,MGH121,Astrocytic,29,18,11,37.93103448275862
GSE131928,MGH122,Astrocytic,38,23,15,39.473684210526315
GSE131928,MGH113,Astrocytic,24,13,11,45.83333333333333
GSE131928,MGH85,Astrocytic,30,17,13,43.333333333333336
GSE131928,MGH136,Astrocytic,33,21,12,36.36363636363637
GSE131928,MGH126,Astrocytic,32,17,15,46.875
