Time_h,DACT_0.002222222uM_rep1,DACT_0.002222222uM_rep2,DACT_0.002222222uM_mean,DACT_0.006666667uM_rep1,DACT_0.006666667uM_rep2,DACT_0.006666667uM_rep3,DACT_0.006666667uM_rep4,DACT_0.006666667uM_mean,DACT_0.02uM_rep1,DACT_0.02uM_rep2,DACT_0.02uM_rep3,DACT_0.02uM_rep4,DACT_0.02uM_mean,DACT_0.06uM_rep1,DACT_0.06uM_rep2,DACT_0.06uM_rep3,DACT_0.06uM_rep4,DACT_0.06uM_mean,DACT_0.18uM_rep1,DACT_0.18uM_rep2,DACT_0.18uM_rep3,DACT_0.18uM_mean,DMSO_rep1,DMSO_rep2,DMSO_rep3,DMSO_rep4,DMSO_rep5,DMSO_rep6,DMSO_rep7,DMSO_rep8,DMSO_rep9,DMSO_rep10,DMSO_rep11,DMSO_rep12,DMSO_rep13,DMSO_rep14,DMSO_rep15,DMSO_rep16,DMSO_rep17,DMSO_mean
0.0,,,,,33.4,,22.5,27.95,,,,15.8,15.8,74.5,,,15.1,44.8,68.7,,11.7,40.2,48.4,22.7,,35.8,19.8,,16.7,16.7,,21.8,,17.7,9.3,18.8,,20.0,,22.51818181818182
1.0,20.9,19.8,20.35,8.3,26.5,,,17.4,,,,,,,,,,,,9.6,,9.6,,,,,,,,,,,,,,,,,,
3.0,19.8,18.5,19.15,12.3,29.4,12.4,21.6,18.925,10.4,13.6,10.8,6.5,10.325,74.8,14.4,21.2,,36.800000000000004,63.9,10.9,6.1,26.966666666666665,37.2,18.7,10.8,,18.1,16.9,7.0,13.8,12.2,15.8,25.5,,10.3,18.6,11.0,12.4,,16.30714285714286
4.0,19.3,24.3,21.8,12.4,35.6,11.8,24.1,20.975,10.1,14.7,12.4,5.1,10.575,73.4,18.8,17.2,11.8,30.3,66.1,9.1,8.9,28.03333333333333,41.4,21.9,11.6,16.4,18.5,22.8,9.3,16.0,15.6,13.2,33.0,12.5,9.3,22.2,12.3,10.6,,17.9125
5.0,19.7,26.8,23.25,12.5,39.2,14.0,26.5,23.05,8.8,15.3,,5.8,9.966666666666667,73.8,20.6,22.2,14.2,32.7,66.4,12.1,8.9,29.133333333333336,45.8,19.5,13.8,12.9,21.7,27.5,11.5,13.9,,12.8,36.6,12.3,7.3,21.7,16.9,12.8,,19.133333333333333
6.0,39.8,36.5,38.15,19.6,51.0,21.6,30.5,30.674999999999997,14.9,25.6,25.5,19.7,21.425,76.4,31.8,29.2,24.0,40.35,72.4,24.1,17.6,38.03333333333333,47.5,26.5,28.9,19.4,25.9,17.2,10.2,8.3,9.3,16.8,37.6,14.0,11.9,26.2,15.3,,,21.0
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,19.3,25.6,22.450000000000003,5.8,38.6,8.9,23.8,19.275,8.4,12.2,11.5,7.0,9.775,77.4,21.1,19.5,9.0,31.75,67.1,12.4,,39.75,49.2,15.5,9.2,9.7,17.9,10.7,11.1,6.7,8.3,9.5,38.4,11.8,8.3,22.0,,12.2,,16.033333333333335
9.0,19.3,22.2,20.75,8.0,40.1,7.6,24.4,20.025,9.4,12.1,12.6,10.1,11.05,74.1,22.9,19.6,11.3,31.974999999999998,67.1,13.0,,40.05,48.2,15.2,9.1,8.0,17.7,10.4,11.0,9.2,9.7,8.4,33.3,8.4,9.6,19.8,9.8,12.2,,15.0
10.0,19.2,22.9,21.049999999999997,6.8,46.0,6.7,23.9,20.85,8.3,12.9,11.2,8.3,10.175,74.8,24.4,21.2,12.4,33.199999999999996,67.6,16.1,,41.849999999999994,49.8,18.0,8.9,8.2,18.0,10.0,11.3,7.6,9.2,10.3,36.0,9.3,7.8,23.7,10.9,13.2,,15.7625
11.0,20.2,24.9,22.549999999999997,9.6,42.3,8.4,23.4,20.924999999999997,11.7,13.8,14.1,8.4,12.0,77.4,25.3,21.7,15.0,34.85,67.9,19.2,,43.550000000000004,51.4,19.7,10.1,7.4,,9.7,7.8,,8.7,,37.5,7.7,8.6,24.9,11.3,9.4,,16.47692307692308
12.0,17.2,27.4,22.299999999999997,9.2,43.3,9.8,24.3,21.65,10.5,14.8,12.7,7.1,11.275,74.8,26.1,24.9,15.2,35.25,67.3,19.1,22.5,36.300000000000004,52.4,17.1,9.8,7.5,16.4,9.9,8.3,6.6,8.6,,39.1,7.5,9.7,24.5,14.1,15.7,,16.479999999999997
13.0,19.5,26.1,22.8,8.0,47.6,8.2,25.6,22.35,7.9,15.9,14.6,7.1,11.375,73.7,25.7,22.6,14.5,34.125,69.2,20.6,11.9,33.900000000000006,52.0,17.3,8.9,7.9,17.4,9.9,10.5,6.1,7.9,9.9,39.3,7.5,8.7,23.8,14.6,9.7,,15.712499999999999
14.0,18.0,25.4,21.7,,45.0,6.1,23.9,25.0,,15.8,13.5,9.2,12.833333333333334,74.3,27.4,24.4,15.1,35.3,68.2,25.3,20.2,37.9,53.5,17.3,9.6,7.8,16.9,9.4,,6.0,6.7,7.1,42.2,7.0,9.1,24.7,15.4,,,16.62142857142857
15.0,20.2,28.7,24.45,11.5,52.7,5.3,24.3,23.45,8.0,14.1,17.1,6.4,11.4,75.1,29.7,26.3,17.6,37.175,67.2,28.2,18.3,37.9,54.2,17.4,10.6,6.6,17.5,11.1,9.4,6.2,6.4,9.7,40.4,7.5,7.9,24.5,16.2,12.6,,16.137500000000003
16.0,16.9,29.5,23.2,7.9,49.9,7.0,23.7,22.125,10.9,16.2,14.6,7.7,12.350000000000001,76.7,29.6,27.4,15.2,37.225,66.7,29.7,21.3,39.233333333333334,53.5,19.9,10.2,7.5,16.6,10.5,10.0,7.6,7.1,7.0,42.8,7.0,8.5,24.9,12.2,10.6,,15.99375
17.0,17.2,25.5,21.35,8.9,53.2,7.6,24.6,23.575000000000003,9.4,,16.0,8.9,11.433333333333332,73.8,29.3,29.3,15.6,37.0,67.1,32.4,24.4,41.300000000000004,53.7,16.9,8.7,6.8,16.2,9.6,6.6,9.6,7.8,8.5,41.0,6.8,7.8,25.9,12.8,8.5,,15.450000000000001
18.0,18.3,29.3,23.8,12.2,55.5,7.5,23.3,24.625,8.6,17.9,14.3,8.5,12.325,75.7,31.3,27.4,17.7,38.025,68.8,36.5,22.4,42.56666666666666,54.3,17.6,9.0,7.1,15.6,10.4,7.2,8.7,7.5,6.7,40.1,6.5,7.3,24.6,17.2,11.9,,15.731250000000001
19.0,18.8,24.5,21.65,7.4,57.2,6.6,23.8,23.75,9.3,18.5,16.9,8.2,13.225000000000001,78.5,30.2,27.5,16.9,38.275,68.6,37.2,29.6,45.13333333333333,53.8,16.2,6.9,7.0,16.2,12.6,9.1,6.5,7.4,9.5,44.2,6.1,8.0,24.5,,10.5,,15.900000000000002
20.0,17.3,26.6,21.950000000000003,15.0,55.3,,25.8,32.03333333333333,10.4,18.7,16.5,7.0,13.15,76.8,31.1,35.2,17.2,40.075,71.3,35.8,30.2,45.76666666666666,54.9,16.1,6.4,,15.1,11.1,10.1,,7.9,8.5,,,7.4,21.5,,10.2,,15.381818181818181
