Drug,Concentration_uM,Num_Replicates,Num_Valid_Endpoints,Mean_All_Values,Std_All_Values,Min_All_Values,Max_All_Values,Mean_Endpoint,Std_Endpoint,Min_Endpoint,Max_Endpoint
DACTI,0.002222222,2,2,18.74529411764706,4.54982949602582,7.7,39.8,22.450000000000003,3.1500000000000004,19.3,25.6
DACTI,0.006666667,4,4,26.851479289940826,21.27030351032088,4.1,75.3,19.275,13.068545251863346,5.8,38.6
DACTI,0.02,4,4,22.244171779141105,13.173377122243474,3.1,55.5,9.775,2.1475276482504246,7.0,12.2
DACTI,0.06,4,4,51.54314868804666,23.41041863942069,9.0,84.4,31.75,26.762707262158667,9.0,77.4
DACTI,0.18,3,2,65.13449612403102,20.111622905894485,6.1,88.0,39.75,27.349999999999998,12.4,67.1
DMSO,0.011111111,3,3,25.93458333333334,18.502344779145936,3.6,55.5,24.633333333333336,17.560625147059987,9.2,49.2
DMSO,0.033333333,3,3,9.749612403100773,4.629499680486986,3.9,35.8,12.766666666666666,3.652700675147393,9.7,17.9
DMSO,0.1,6,6,12.262307692307692,10.42651033431029,1.9,45.0,14.299999999999999,10.90947600330404,6.7,38.4
DMSO,0.3,5,3,12.32183908045977,7.5624020888481756,3.7,37.9,14.166666666666666,5.763293811316195,8.3,22.0
GEMCI,0.555555556,6,5,11.141204819277108,8.834050415363363,1.6,74.0,11.34,8.194046619345047,2.6,26.9
GEMCI,1.666666667,7,5,9.127982646420824,6.4403030445434535,2.0,79.0,9.280000000000001,3.319879515886081,5.4,15.4
GEMCI,5.0,6,6,10.889211618257262,6.87769621221982,1.8,89.8,10.433333333333332,5.0135372298962295,3.5,18.2
GEMCI,15.0,8,4,8.114192139737991,5.647981003231506,2.2,74.6,7.025,2.1924586655168663,4.7,10.2
GEMCI,45.0,7,6,12.805451127819548,19.186221079403882,1.5,80.2,17.5,25.88538841380081,3.3,75.3
PLICA,0.001111111,6,4,8.856009615384616,5.082016033174828,1.4,36.9,9.675,3.6175786100650256,6.1,15.0
PLICA,0.003333333,8,4,6.5517094017094015,6.867252998442132,1.5,74.5,5.6,1.1022703842524304,4.1,7.2
PLICA,0.01,8,4,6.82175,5.620338240488734,1.6,73.2,5.700000000000001,1.151086443322134,4.1,7.3
PLICA,0.03,8,7,7.552445193929175,5.618308867170693,1.5,98.6,9.042857142857141,4.765907841221901,4.8,17.9
PLICA,0.09,8,7,9.031304347826087,4.343973641072068,2.9,70.5,8.271428571428572,2.634233033250739,4.6,11.8
VINC,0.166666667,5,3,28.019134396355355,17.35464720646182,5.5,62.6,11.933333333333335,1.9703355608175528,9.9,14.6
VINC,0.5,6,4,34.08037825059102,19.95954816566482,5.9,70.7,12.899999999999999,4.2760963506450596,6.2,17.9
VINC,1.5,6,4,33.41709601873536,16.67806235544862,5.3,68.2,7.35,1.0920164833920776,5.5,8.2
VINC,4.5,6,5,28.504280155642025,12.461059234449934,4.8,81.7,16.099999999999998,7.647221717722064,5.8,26.0
VINC,13.5,7,6,38.32674199623352,15.604152247126825,8.0,90.1,14.15,4.221670285562338,10.7,23.2
