Well,Row,Column,Content,Data_Column,O2_Value,Timepoint
A01,A,1,Empty,,,94.0h
A02,A,2,Empty,,,94.0h
A03,A,3,Empty,,,94.0h
A04,A,4,Empty,,,94.0h
A05,A,5,Empty,,,94.0h
A06,A,6,Empty,,,94.0h
A07,A,7,Empty,,,94.0h
A08,A,8,Empty,,,94.0h
A09,A,9,Empty,,,94.0h
A10,A,10,Empty,,,94.0h
A11,A,11,Empty,,,94.0h
A12,A,12,Empty,,,94.0h
A13,A,13,Empty,,,94.0h
A14,A,14,Empty,,,94.0h
A15,A,15,Empty,,,94.0h
A16,A,16,Empty,,,94.0h
A17,A,17,Empty,,,94.0h
A18,A,18,Empty,,,94.0h
A19,A,19,Empty,,,94.0h
A20,A,20,Empty,,,94.0h
A21,A,21,Empty,,,94.0h
A22,A,22,Empty,,,94.0h
A23,A,23,Empty,,,94.0h
A24,A,24,Empty,,,94.0h
B01,B,1,"DACTI
0.00222",DACTI_0.002222222_1,7.7,94.0h
B02,B,2,"DACTI
0.00222",DACTI_0.002222222_2,10.6,94.0h
B03,B,3,Empty,,,94.0h
B04,B,4,Empty,,,94.0h
B05,B,5,"DACTI
0.00667",DACTI_0.006666667_1,15.3,94.0h
B06,B,6,"DACTI
0.00667",DACTI_0.006666667_2,73.9,94.0h
B07,B,7,"DACTI
0.00667",DACTI_0.006666667_3,10.1,94.0h
B08,B,8,"DACTI
0.00667",DACTI_0.006666667_4,17.4,94.0h
B09,B,9,"DACTI
0.02",DACTI_0.02_1,48.5,94.0h
B10,B,10,"DACTI
0.02",DACTI_0.02_2,26.5,94.0h
B11,B,11,"DACTI
0.02",DACTI_0.02_3,54.1,94.0h
B12,B,12,"DACTI
0.02",DACTI_0.02_4,53.8,94.0h
B13,B,13,"DACTI
0.06",DACTI_0.06_1,83.6,94.0h
B14,B,14,"DACTI
0.06",DACTI_0.06_2,67.6,94.0h
B15,B,15,"DACTI
0.06",DACTI_0.06_3,71.4,94.0h
B16,B,16,"DACTI
0.06",DACTI_0.06_4,76.8,94.0h
B17,B,17,"DACTI
0.18",DACTI_0.18_1,80.8,94.0h
B18,B,18,"DACTI
0.18",DACTI_0.18_2,83.9,94.0h
B19,B,19,"DACTI
0.18",DACTI_0.18_3,73.1,94.0h
B20,B,20,Empty,,,94.0h
B21,B,21,DMSO,DMSO_0.011111111_1,38.6,94.0h
B22,B,22,DMSO,DMSO_0.011111111_2,9.7,94.0h
B23,B,23,Empty,DMSO_0.011111111_3,,94.0h
B24,B,24,Empty,,,94.0h
C01,C,1,"PLICA
0.00111",PLICA_0.001111111_1,6.7,94.0h
C02,C,2,"PLICA
0.00111",PLICA_0.001111111_2,7.5,94.0h
C03,C,3,Empty,PLICA_0.001111111_3,,94.0h
C04,C,4,"PLICA
0.00111",PLICA_0.001111111_4,11.3,94.0h
C05,C,5,"PLICA
0.00333",PLICA_0.003333333_1,9.3,94.0h
C06,C,6,Empty,PLICA_0.003333333_2,,94.0h
C07,C,7,Empty,PLICA_0.003333333_3,,94.0h
C08,C,8,"PLICA
0.00333",PLICA_0.003333333_4,7.0,94.0h
C09,C,9,Empty,PLICA_0.01_1,,94.0h
C10,C,10,Empty,PLICA_0.01_2,,94.0h
C11,C,11,"PLICA
0.01",PLICA_0.01_3,8.2,94.0h
C12,C,12,Empty,PLICA_0.01_4,,94.0h
C13,C,13,"PLICA
0.03",PLICA_0.03_1,6.1,94.0h
C14,C,14,"PLICA
0.03",PLICA_0.03_2,3.8,94.0h
C15,C,15,"PLICA
0.03",PLICA_0.03_3,7.6,94.0h
C16,C,16,"PLICA
0.03",PLICA_0.03_4,98.6,94.0h
C17,C,17,"PLICA
0.09",PLICA_0.09_1,70.5,94.0h
C18,C,18,"PLICA
0.09",PLICA_0.09_2,7.0,94.0h
C19,C,19,Empty,PLICA_0.09_3,,94.0h
C20,C,20,Empty,PLICA_0.09_4,,94.0h
C21,C,21,DMSO,DMSO_0.033333333_1,6.4,94.0h
C22,C,22,DMSO,DMSO_0.033333333_2,10.4,94.0h
C23,C,23,DMSO,DMSO_0.033333333_3,4.7,94.0h
C24,C,24,Empty,,,94.0h
D01,D,1,Empty,PLICA_0.001111111_5,,94.0h
D02,D,2,Empty,PLICA_0.001111111_6,,94.0h
D03,D,3,Empty,,,94.0h
D04,D,4,Empty,,,94.0h
D05,D,5,"PLICA
0.00333",PLICA_0.003333333_5,67.0,94.0h
D06,D,6,Empty,PLICA_0.003333333_6,,94.0h
D07,D,7,"PLICA
0.00333",PLICA_0.003333333_7,9.2,94.0h
D08,D,8,Empty,PLICA_0.003333333_8,,94.0h
D09,D,9,"PLICA
0.01",PLICA_0.01_5,3.6,94.0h
D10,D,10,"PLICA
0.01",PLICA_0.01_6,5.4,94.0h
D11,D,11,"PLICA
0.01",PLICA_0.01_7,3.6,94.0h
D12,D,12,Empty,PLICA_0.01_8,,94.0h
D13,D,13,"PLICA
0.03",PLICA_0.03_5,5.4,94.0h
D14,D,14,"PLICA
0.03",PLICA_0.03_6,14.9,94.0h
D15,D,15,"PLICA
0.03",PLICA_0.03_7,3.0,94.0h
D16,D,16,"PLICA
0.03",PLICA_0.03_8,3.9,94.0h
D17,D,17,Empty,PLICA_0.09_5,,94.0h
D18,D,18,"PLICA
0.09",PLICA_0.09_6,6.3,94.0h
D19,D,19,Empty,PLICA_0.09_7,,94.0h
D20,D,20,Empty,PLICA_0.09_8,,94.0h
D21,D,21,Empty,,,94.0h
D22,D,22,Empty,,,94.0h
D23,D,23,Empty,,,94.0h
D24,D,24,Empty,,,94.0h
E01,E,1,"GEMCI
0.556",GEMCI_0.555555556_1,74.0,94.0h
E02,E,2,Empty,GEMCI_0.555555556_2,,94.0h
E03,E,3,"GEMCI
0.556",GEMCI_0.555555556_3,2.7,94.0h
E04,E,4,"GEMCI
0.556",GEMCI_0.555555556_4,19.1,94.0h
E05,E,5,"GEMCI
1.67",GEMCI_1.666666667_1,15.7,94.0h
E06,E,6,Empty,GEMCI_1.666666667_2,,94.0h
E07,E,7,Empty,GEMCI_1.666666667_3,,94.0h
E08,E,8,Empty,GEMCI_1.666666667_4,,94.0h
E09,E,9,"GEMCI
5",GEMCI_5.0_1,11.4,94.0h
E10,E,10,Empty,GEMCI_5.0_2,,94.0h
