Time_h,GEMCI_0.555555556uM_rep1,GEMCI_0.555555556uM_rep2,GEMCI_0.555555556uM_rep3,GEMCI_0.555555556uM_rep4,GEMCI_0.555555556uM_rep5,GEMCI_0.555555556uM_rep6,GEMCI_0.555555556uM_mean,GEMCI_1.666666667uM_rep1,GEMCI_1.666666667uM_rep2,GEMCI_1.666666667uM_rep3,GEMCI_1.666666667uM_rep4,GEMCI_1.666666667uM_rep5,GEMCI_1.666666667uM_rep6,GEMCI_1.666666667uM_rep7,GEMCI_1.666666667uM_mean,GEMCI_5.0uM_rep1,GEMCI_5.0uM_rep2,GEMCI_5.0uM_rep3,GEMCI_5.0uM_rep4,GEMCI_5.0uM_rep5,GEMCI_5.0uM_rep6,GEMCI_5.0uM_mean,GEMCI_15.0uM_rep1,GEMCI_15.0uM_rep2,GEMCI_15.0uM_rep3,GEMCI_15.0uM_rep4,GEMCI_15.0uM_rep5,GEMCI_15.0uM_rep6,GEMCI_15.0uM_rep7,GEMCI_15.0uM_rep8,GEMCI_15.0uM_mean,GEMCI_45.0uM_rep1,GEMCI_45.0uM_rep2,GEMCI_45.0uM_rep3,GEMCI_45.0uM_rep4,GEMCI_45.0uM_rep5,GEMCI_45.0uM_rep6,GEMCI_45.0uM_rep7,GEMCI_45.0uM_mean,DMSO_rep1,DMSO_rep2,DMSO_rep3,DMSO_rep4,DMSO_rep5,DMSO_rep6,DMSO_rep7,DMSO_rep8,DMSO_rep9,DMSO_rep10,DMSO_rep11,DMSO_rep12,DMSO_rep13,DMSO_rep14,DMSO_rep15,DMSO_rep16,DMSO_rep17,DMSO_mean
0.0,,,,23.6,,,23.6,,,,75.7,,20.3,,48.0,,23.1,11.0,17.8,,23.2,18.775000000000002,18.4,,,,27.5,,,29.5,25.133333333333336,9.6,13.8,9.0,13.3,6.5,,16.5,11.450000000000001,48.4,22.7,,35.8,19.8,,16.7,16.7,,21.8,,17.7,9.3,18.8,,20.0,,22.51818181818182
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,11.4,10.6,,23.7,5.4,,12.775,12.5,11.3,6.9,,,6.2,6.7,8.720000000000002,9.6,12.6,4.3,9.4,89.8,15.6,23.549999999999997,8.8,9.7,,8.7,,74.6,6.1,13.4,20.216666666666665,2.4,,5.3,8.7,,73.0,11.8,20.240000000000002,37.2,18.7,10.8,,18.1,16.9,7.0,13.8,12.2,15.8,25.5,,10.3,18.6,11.0,12.4,,16.30714285714286
4.0,11.3,9.2,,24.5,4.3,,12.325,11.0,11.0,8.2,,11.8,9.0,9.0,10.0,8.3,11.3,4.1,8.5,19.9,,10.42,11.4,9.6,,10.6,,6.6,6.2,11.5,9.316666666666668,3.3,10.1,3.1,6.6,,69.5,11.2,17.3,41.4,21.9,11.6,16.4,18.5,22.8,9.3,16.0,15.6,13.2,33.0,12.5,9.3,22.2,12.3,10.6,,17.9125
5.0,11.9,5.4,,26.5,3.6,,11.85,10.4,13.0,8.2,,10.9,,9.8,10.459999999999999,10.5,13.0,5.1,9.4,17.3,,11.059999999999999,15.7,10.2,,10.5,,7.8,6.3,13.4,10.649999999999999,4.3,9.4,4.9,9.4,,80.2,13.0,20.2,45.8,19.5,13.8,12.9,21.7,27.5,11.5,13.9,,12.8,36.6,12.3,7.3,21.7,16.9,12.8,,19.133333333333333
6.0,23.5,,10.3,31.5,,,21.766666666666666,,,10.8,,9.7,8.6,15.7,11.2,12.7,22.7,8.5,12.0,22.6,,15.7,17.5,,5.9,,,10.4,7.3,,10.274999999999999,6.1,10.8,5.3,8.0,,79.2,14.1,20.583333333333332,47.5,26.5,28.9,19.4,25.9,17.2,10.2,8.3,9.3,16.8,37.6,14.0,11.9,26.2,15.3,,,21.0
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,9.6,8.0,2.6,26.9,,9.6,11.34,15.4,,8.0,,9.3,5.4,8.3,9.280000000000001,8.0,8.0,3.5,9.1,18.2,15.8,10.433333333333332,,,,7.9,,4.7,5.3,10.2,7.025,3.3,7.3,,5.7,5.9,75.3,7.5,17.5,49.2,15.5,9.2,9.7,17.9,10.7,11.1,6.7,8.3,9.5,38.4,11.8,8.3,22.0,,12.2,,16.033333333333335
9.0,8.9,7.0,3.5,27.8,,8.8,11.2,15.2,,6.9,,8.1,6.3,8.5,9.0,7.7,8.2,4.7,9.5,17.8,17.5,10.9,,,,8.6,,6.5,4.5,11.7,7.825,3.2,8.1,2.4,5.4,9.1,75.5,9.0,16.1,48.2,15.2,9.1,8.0,17.7,10.4,11.0,9.2,9.7,8.4,33.3,8.4,9.6,19.8,9.8,12.2,,15.0
10.0,9.4,7.9,3.2,28.5,,10.0,11.8,17.4,,9.3,,11.0,3.3,6.7,9.540000000000001,8.6,4.7,5.7,8.3,20.1,23.7,11.850000000000001,,9.6,,10.2,,4.8,5.7,10.8,8.219999999999999,2.5,7.3,5.5,6.9,7.4,76.9,9.0,16.5,49.8,18.0,8.9,8.2,18.0,10.0,11.3,7.6,9.2,10.3,36.0,9.3,7.8,23.7,10.9,13.2,,15.7625
11.0,9.3,,3.8,27.7,,12.3,13.274999999999999,16.6,,9.4,,9.5,3.3,8.8,9.52,7.4,,5.7,9.5,18.1,16.0,11.34,,,,10.7,,6.3,6.2,9.6,8.2,3.1,8.5,6.1,,7.4,76.5,9.5,18.516666666666666,51.4,19.7,10.1,7.4,,9.7,7.8,,8.7,,37.5,7.7,8.6,24.9,11.3,9.4,,16.47692307692308
12.0,10.1,,2.5,29.1,,12.9,13.65,17.0,,11.1,,10.2,5.0,8.1,10.28,9.8,,5.8,9.0,16.5,14.8,11.180000000000001,,14.5,,6.3,,5.1,5.4,10.6,8.379999999999999,3.7,7.8,5.2,7.2,5.9,73.0,10.5,16.185714285714287,52.4,17.1,9.8,7.5,16.4,9.9,8.3,6.6,8.6,,39.1,7.5,9.7,24.5,14.1,15.7,,16.479999999999997
