Well,Row_o2,Column_o2,Content,Data_Column,O2_Value,Timepoint,Row_pb,Column_pb,Presto_Blue_Value
B02,B,2,"DACTI
0.00222",DACTI_0.002222222_2,13.163636363636362,avg of last 10h,B,2,262792.0
B05,B,5,"DACTI
0.00667",DACTI_0.006666667_1,16.914285714285715,avg of last 10h,B,5,231829.0
B06,B,6,"DACTI
0.00667",DACTI_0.006666667_2,72.57272727272726,avg of last 10h,B,6,104964.0
B07,B,7,"DACTI
0.00667",DACTI_0.006666667_3,8.68181818181818,avg of last 10h,B,7,197948.0
B08,B,8,"DACTI
0.00667",DACTI_0.006666667_4,18.53636363636364,avg of last 10h,B,8,220977.0
B09,B,9,"DACTI
0.02",DACTI_0.02_1,44.88181818181818,avg of last 10h,B,9,179785.0
B10,B,10,"DACTI
0.02",DACTI_0.02_2,26.74,avg of last 10h,B,10,164759.0
B11,B,11,"DACTI
0.02",DACTI_0.02_3,50.29090909090908,avg of last 10h,B,11,172386.0
B12,B,12,"DACTI
0.02",DACTI_0.02_4,50.440000000000005,avg of last 10h,B,12,144409.0
B13,B,13,"DACTI
0.06",DACTI_0.06_1,81.86363636363636,avg of last 10h,B,13,10037.0
B14,B,14,"DACTI
0.06",DACTI_0.06_2,65.47272727272728,avg of last 10h,B,14,154397.0
B15,B,15,"DACTI
0.06",DACTI_0.06_3,65.85454545454546,avg of last 10h,B,15,173340.0
B16,B,16,"DACTI
0.06",DACTI_0.06_4,76.46,avg of last 10h,B,16,62624.0
B17,B,17,"DACTI
0.18",DACTI_0.18_1,82.34545454545454,avg of last 10h,B,17,10387.0
B18,B,18,"DACTI
0.18",DACTI_0.18_2,83.7090909090909,avg of last 10h,B,18,37715.0
B19,B,19,"DACTI
0.18",DACTI_0.18_3,73.45,avg of last 10h,B,19,163774.0
B21,B,21,DMSO,DMSO_0.011111111_1,41.13636363636363,avg of last 10h,B,21,230619.0
B22,B,22,DMSO,DMSO_0.011111111_2,10.54,avg of last 10h,B,22,260482.0
C02,C,2,"PLICA
0.00111",PLICA_0.001111111_2,5.672727272727273,avg of last 10h,C,2,298377.0
C04,C,4,"PLICA
0.00111",PLICA_0.001111111_4,12.57272727272727,avg of last 10h,C,4,316449.0
C05,C,5,"PLICA
0.00333",PLICA_0.003333333_1,6.780000000000001,avg of last 10h,C,5,220727.0
C08,C,8,"PLICA
0.00333",PLICA_0.003333333_4,7.7,avg of last 10h,C,8,333644.0
C11,C,11,"PLICA
0.01",PLICA_0.01_3,6.736363636363637,avg of last 10h,C,11,364025.0
C13,C,13,"PLICA
0.03",PLICA_0.03_1,6.090909090909091,avg of last 10h,C,13,333868.0
C14,C,14,"PLICA
0.03",PLICA_0.03_2,4.466666666666667,avg of last 10h,C,14,315661.0
C15,C,15,"PLICA
0.03",PLICA_0.03_3,9.03,avg of last 10h,C,15,322281.0
C16,C,16,"PLICA
0.03",PLICA_0.03_4,26.085714285714285,avg of last 10h,C,16,325936.0
C17,C,17,"PLICA
0.09",PLICA_0.09_1,14.98,avg of last 10h,C,17,228016.0
C18,C,18,"PLICA
0.09",PLICA_0.09_2,6.8999999999999995,avg of last 10h,C,18,239740.0
C21,C,21,DMSO,DMSO_0.033333333_1,5.1454545454545455,avg of last 10h,C,21,360776.0
C22,C,22,DMSO,DMSO_0.033333333_2,8.763636363636364,avg of last 10h,C,22,285759.0
C23,C,23,DMSO,DMSO_0.033333333_3,5.881818181818181,avg of last 10h,C,23,318978.0
D05,D,5,"PLICA
0.00333",PLICA_0.003333333_5,12.177777777777775,avg of last 10h,D,5,310772.0
D06,D,6,"PLICA
0.00333",PLICA_0.003333333_6,21.98,avg of last 10h,D,6,281793.0
D07,D,7,"PLICA
0.00333",PLICA_0.003333333_7,6.1899999999999995,avg of last 10h,D,7,389323.0
D08,D,8,"PLICA
0.00333",PLICA_0.003333333_8,6.942857142857143,avg of last 10h,D,8,293097.0
D09,D,9,"PLICA
0.01",PLICA_0.01_5,4.072727272727273,avg of last 10h,D,9,335441.0
D10,D,10,"PLICA
0.01",PLICA_0.01_6,8.154545454545454,avg of last 10h,D,10,294657.0
D11,D,11,"PLICA
0.01",PLICA_0.01_7,4.981818181818182,avg of last 10h,D,11,314993.0
D13,D,13,"PLICA
0.03",PLICA_0.03_5,4.97,avg of last 10h,D,13,315512.0
D14,D,14,"PLICA
0.03",PLICA_0.03_6,12.609090909090911,avg of last 10h,D,14,296367.0
D15,D,15,"PLICA
0.03",PLICA_0.03_7,3.3272727272727276,avg of last 10h,D,15,325881.0
D16,D,16,"PLICA
0.03",PLICA_0.03_8,3.0818181818181816,avg of last 10h,D,16,316091.0
D18,D,18,"PLICA
0.09",PLICA_0.09_6,8.736363636363636,avg of last 10h,D,18,366175.0
D20,D,20,"PLICA
0.09",PLICA_0.09_8,10.44,avg of last 10h,D,20,267534.0
E03,E,3,"GEMCI
0.556",GEMCI_0.555555556_3,4.1000000000000005,avg of last 10h,E,3,308424.0
E04,E,4,"GEMCI
0.556",GEMCI_0.555555556_4,20.58888888888889,avg of last 10h,E,4,336864.0
E05,E,5,"GEMCI
1.67",GEMCI_1.666666667_1,15.329999999999998,avg of last 10h,E,5,264043.0
E08,E,8,"GEMCI
1.67",GEMCI_1.666666667_4,16.585714285714285,avg of last 10h,E,8,309259.0
E09,E,9,"GEMCI
5",GEMCI_5.0_1,11.554545454545456,avg of last 10h,E,9,304864.0
E11,E,11,"GEMCI
5",GEMCI_5.0_3,7.045454545454546,avg of last 10h,E,11,282207.0
E12,E,12,"GEMCI
5",GEMCI_5.0_4,4.8999999999999995,avg of last 10h,E,12,301563.0
E15,E,15,"GEMCI
15",GEMCI_15.0_3,4.06,avg of last 10h,E,15,296111.0
E16,E,16,"GEMCI
15",GEMCI_15.0_4,5.6454545454545455,avg of last 10h,E,16,291652.0
E17,E,17,"GEMCI
45",GEMCI_45.0_1,3.5000000000000004,avg of last 10h,E,17,288313.0
E18,E,18,"GEMCI
45",GEMCI_45.0_2,7.872727272727272,avg of last 10h,E,18,276286.0
