Time_h,PLIC_0.001111111uM_rep1,PLIC_0.001111111uM_rep2,PLIC_0.001111111uM_rep3,PLIC_0.001111111uM_rep4,PLIC_0.001111111uM_rep5,PLIC_0.001111111uM_rep6,PLIC_0.001111111uM_mean,PLIC_0.003333333uM_rep1,PLIC_0.003333333uM_rep2,PLIC_0.003333333uM_rep3,PLIC_0.003333333uM_rep4,PLIC_0.003333333uM_rep5,PLIC_0.003333333uM_rep6,PLIC_0.003333333uM_rep7,PLIC_0.003333333uM_rep8,PLIC_0.003333333uM_mean,PLIC_0.01uM_rep1,PLIC_0.01uM_rep2,PLIC_0.01uM_rep3,PLIC_0.01uM_rep4,PLIC_0.01uM_rep5,PLIC_0.01uM_rep6,PLIC_0.01uM_rep7,PLIC_0.01uM_rep8,PLIC_0.01uM_mean,PLIC_0.03uM_rep1,PLIC_0.03uM_rep2,PLIC_0.03uM_rep3,PLIC_0.03uM_rep4,PLIC_0.03uM_rep5,PLIC_0.03uM_rep6,PLIC_0.03uM_rep7,PLIC_0.03uM_rep8,PLIC_0.03uM_mean,PLIC_0.09uM_rep1,PLIC_0.09uM_rep2,PLIC_0.09uM_rep3,PLIC_0.09uM_rep4,PLIC_0.09uM_rep5,PLIC_0.09uM_rep6,PLIC_0.09uM_rep7,PLIC_0.09uM_rep8,PLIC_0.09uM_mean,DMSO_rep1,DMSO_rep2,DMSO_rep3,DMSO_rep4,DMSO_rep5,DMSO_rep6,DMSO_rep7,DMSO_rep8,DMSO_rep9,DMSO_rep10,DMSO_rep11,DMSO_rep12,DMSO_rep13,DMSO_rep14,DMSO_rep15,DMSO_rep16,DMSO_rep17,DMSO_mean
0.0,22.8,,36.9,24.2,28.4,,28.075000000000003,,,,,,,,16.7,16.7,,,,21.0,73.2,,,,47.1,,,,,16.3,,,,16.3,21.1,25.0,,,15.9,,,26.8,22.2,48.4,22.7,,35.8,19.8,,16.7,16.7,,21.8,,17.7,9.3,18.8,,20.0,,22.51818181818182
1.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,13.2,6.6,,21.1,,11.5,13.1,67.6,12.4,9.0,6.8,63.7,69.8,17.1,8.3,31.8375,12.4,,9.6,12.0,5.5,2.9,,12.3,9.116666666666667,10.2,,4.4,,4.9,19.6,,4.3,8.68,9.2,,8.8,9.8,11.1,9.5,22.9,5.6,10.985714285714284,37.2,18.7,10.8,,18.1,16.9,7.0,13.8,12.2,15.8,25.5,,10.3,18.6,11.0,12.4,,16.30714285714286
4.0,13.5,7.0,,22.7,,10.0,13.3,,9.5,9.1,5.3,4.7,5.4,8.1,9.5,7.371428571428572,14.0,,10.7,12.2,5.8,3.7,,7.5,8.983333333333333,11.2,8.4,5.7,,4.9,19.6,,6.1,9.316666666666668,12.7,,8.4,8.9,8.3,13.9,19.6,5.6,11.057142857142855,41.4,21.9,11.6,16.4,18.5,22.8,9.3,16.0,15.6,13.2,33.0,12.5,9.3,22.2,12.3,10.6,,17.9125
5.0,17.2,5.0,,23.4,,13.9,14.874999999999998,,8.2,6.6,6.9,4.3,8.0,9.8,9.2,7.571428571428571,9.7,,11.9,10.8,2.1,6.3,,,8.16,15.0,9.7,5.8,,4.9,19.6,,5.1,10.016666666666667,13.3,,7.9,8.3,10.2,14.3,23.9,7.9,12.257142857142858,45.8,19.5,13.8,12.9,21.7,27.5,11.5,13.9,,12.8,36.6,12.3,7.3,21.7,16.9,12.8,,19.133333333333333
6.0,13.4,,,35.4,12.5,,20.433333333333334,,8.7,12.5,,,5.4,5.6,8.1,8.06,21.5,,23.9,12.1,4.1,4.2,,,13.16,,,5.1,16.6,6.6,22.2,,12.6,12.620000000000001,21.7,10.2,13.1,,10.1,17.8,,,14.580000000000002,47.5,26.5,28.9,19.4,25.9,17.2,10.2,8.3,9.3,16.8,37.6,14.0,11.9,26.2,15.3,,,21.0
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,6.6,,,15.0,11.0,6.1,9.675,,,,,4.1,7.2,5.7,5.4,5.6,,,7.3,6.0,5.4,4.1,,,5.700000000000001,14.6,6.6,5.2,8.4,4.8,17.9,,5.8,9.042857142857141,10.0,4.6,7.2,9.7,4.6,10.0,11.8,,8.271428571428572,49.2,15.5,9.2,9.7,17.9,10.7,11.1,6.7,8.3,9.5,38.4,11.8,8.3,22.0,,12.2,,16.033333333333335
9.0,4.4,,6.0,14.4,10.2,7.5,8.5,5.5,,,,3.6,2.5,7.6,4.7,4.779999999999999,,,8.5,7.9,5.4,4.0,,,6.449999999999999,14.2,4.4,3.9,9.1,5.3,14.3,,6.9,8.3,18.2,6.7,6.7,10.5,8.8,8.5,12.6,,10.285714285714283,48.2,15.2,9.1,8.0,17.7,10.4,11.0,9.2,9.7,8.4,33.3,8.4,9.6,19.8,9.8,12.2,,15.0
10.0,7.1,,8.4,14.9,7.8,6.5,8.94,4.2,,,,3.7,8.6,,6.1,5.65,,,7.7,7.8,5.1,4.9,,,6.375,15.4,3.3,3.6,9.5,5.4,18.1,,5.5,8.685714285714287,11.6,8.4,7.8,,5.6,5.8,7.8,,7.833333333333332,49.8,18.0,8.9,8.2,18.0,10.0,11.3,7.6,9.2,10.3,36.0,9.3,7.8,23.7,10.9,13.2,,15.7625
